iter	Logloss
0	0.6672616136
1	0.6441586615
2	0.6212824577
3	0.5980329808
4	0.5766043395
5	0.5557175574
6	0.5366501712
7	0.5210312061
8	0.5041371563
9	0.4922656473
10	0.4798044255
11	0.4669301575
12	0.4549084761
13	0.4427156303
14	0.4325899999
15	0.422903203
16	0.4157720593
17	0.405295842
18	0.3975460329
19	0.3904063495
20	0.3826382417
21	0.3771806528
22	0.3706284371
23	0.3625190636
24	0.3578070345
25	0.352040257
26	0.3462039741
27	0.340222012
28	0.3330572662
29	0.3265067607
30	0.3210697861
31	0.3151204571
32	0.3097659565
33	0.3045288388
34	0.2994928767
35	0.295202829
36	0.2914059655
37	0.2879830533
38	0.2839199136
39	0.2800283768
40	0.2764227739
41	0.273714579
42	0.2704020409
43	0.2665945648
44	0.263007589
45	0.2598215776
46	0.2570587318
47	0.2540234201
48	0.2506555518
49	0.2472803316
50	0.2441221852
51	0.2412194754
52	0.2383493709
53	0.2356104421
54	0.2326438648
55	0.22971461
56	0.2274786268
57	0.2239527884
58	0.2220116445
59	0.2199408401
60	0.2171070241
61	0.2138141439
62	0.2108898057
63	0.2087925832
64	0.2055522353
65	0.2032924728
66	0.200306169
67	0.1981056902
68	0.1957010658
69	0.1935998037
70	0.1917522327
71	0.189618655
72	0.1878598844
73	0.1855467446
74	0.1837377968
75	0.1817061217
76	0.1796773889
77	0.1777027112
78	0.1759121176
79	0.1738890036
80	0.1718854958
81	0.1702414284
82	0.1678470358
83	0.1659409402
84	0.1641590959
85	0.1622361696
86	0.1602070987
87	0.1582628674
88	0.1564949023
89	0.1547781526
90	0.1532627789
91	0.151748528
92	0.1500810594
93	0.1485725118
94	0.1471237236
95	0.1457573837
96	0.1444675605
97	0.1430134875
98	0.1413337157
99	0.140043363
