iter	Passed	Remaining
0	140	13902
1	142	6972
2	144	4657
3	145	3498
4	148	2823
5	152	2393
6	155	2070
7	157	1816
8	159	1616
9	162	1458
10	164	1332
11	167	1225
12	169	1133
13	170	1046
14	171	974
15	173	911
16	175	855
17	178	815
18	181	772
19	181	727
20	183	691
21	186	660
22	188	629
23	189	601
24	193	579
25	195	555
26	198	535
27	199	514
28	201	493
29	203	474
30	205	458
31	208	443
32	210	428
33	213	414
34	215	399
35	216	385
36	218	372
37	221	361
38	224	350
39	226	339
40	228	329
41	230	318
42	232	308
43	236	300
44	238	291
45	240	282
46	242	273
47	244	264
48	246	256
49	249	249
50	261	251
51	264	244
52	266	236
53	269	229
54	271	222
55	274	215
56	276	208
57	279	202
58	281	195
59	283	189
60	285	182
61	288	176
62	290	170
63	293	165
64	296	159
65	298	153
66	300	148
67	302	142
68	304	136
69	306	131
70	309	126
71	311	121
72	314	116
73	316	111
74	317	105
75	319	100
76	323	96
77	325	91
78	327	87
79	329	82
80	331	77
81	333	73
82	337	69
83	339	64
84	341	60
85	343	55
86	345	51
87	346	47
88	349	43
89	352	39
90	354	35
91	356	31
92	358	27
93	360	23
94	362	19
95	365	15
96	368	11
97	370	7
98	372	3
99	374	0
